case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_ct,weapon_shotgun_ct,weapon_rifle_ct,weapon_ct,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
1,2000-03-02,2000,Mar,Thu,11,15221,0,1,Wilkinsburg,PA,Business,,1,No relationship,Pistol,1,0,0,1,5,5,5,0,0,2,2,2,0,0,3,3,3,0,0,Fled,No,39,,,Male,,,African american,,
2,2000-04-28,2000,Apr,Fri,13,15228,0,1,Mount Lebanon,PA,Business,,1,No relationship,Pistol,1,0,0,1,5,6,5,0,0,2,0,2,0,0,4,6,4,0,0,Fled,Yes,34,,,Male,,,Caucasian,,
3,2000-12-26,2000,Dec,Tue,11,01880,0,0,Wakefield,MA,Business,,1,Coworker,Rifle,1,1,1,3,7,7,7,0,0,0,0,0,0,0,7,7,7,0,0,Surrendered,Yes,42,,,Male,,,Caucasian,,
4,2001-01-09,2001,Jan,Tue,12,77036,0,0,Houston,TX,Business,,1,No relationship,Pistol,2,0,0,2,3,4,3,0,0,0,0,0,0,0,3,4,3,0,0,Suicide after police arrival,No,54,,,Male,,,Asian,,
5,2001-01-10,2001,Jan,Wed,11,95975,0,1,Nevada County,CA,Other,,1,Other,Pistol,1,0,0,1,5,5,5,0,0,2,2,2,0,0,3,3,3,0,0,Fled,Yes,40,,,Male,,,Caucasian,,
6,2001-02-05,2001,Feb,Mon,9,60532,0,0,Melrose Park,IL,Business,,1,Other,Rifle,1,1,2,4,8,8,8,0,0,4,4,4,0,0,4,4,4,0,0,Suicide before police arrival,Yes,57,,,Male,,,Caucasian,,
7,2001-02-23,2001,Feb,Fri,23,93106,0,0,Isla Vista,CA,Outdoors,,1,No relationship,Vehicle,0,0,0,0,0,0,0,0,0,1,,1,0,0,4,,4,0,0,Subdued by police,No,18,,,Male,,,Caucasian,,
8,2001-03-05,2001,Mar,Mon,9,92071,0,0,Santee,CA,School,High school,1,Other,Pistol,1,0,0,1,15,15,15,0,0,13,13,13,0,0,2,2,2,0,0,Surrendered,No,15,,,Male,,,Caucasian,,
9,2001-03-22,2001,Mar,Thu,12,92021,0,0,El Cajon,CA,School,High school,1,Other,Shotgun,1,1,0,2,5,5,5,0,0,5,5,5,0,0,0,0,0,0,0,Shot by police,No,18,,,Male,,,Caucasian,,
10,2001-04-10,2001,Apr,Tue,18,07032,0,0,Kearny,NJ,Business,,1,Other,Knife,1,0,0,3,0,0,0,0,0,3,,3,0,0,0,,0,0,0,Shot by police,No,26,,,Male,,,African american,,
11,2001-04-13,2001,Apr,Fri,0,60123,1,0,Chicago,IL,Business,,1,No relationship,Shotgun,2,2,0,4,18,23,18,0,0,16,21,16,0,0,2,2,2,0,0,Subdued by citizens,Yes,42,,,Male,,,Caucasian,,
12,2001-04-23,2001,Apr,Mon,6,92410,0,0,San Jose,CA,Business,,1,Coworker,Pistol,1,0,0,1,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Subdued by citizens,Yes,36,,,Female,,,Asian,,
14,2001-07-03,2001,Jul,Tue,23,81650,0,1,Rifle,CO,Outdoors,,1,No relationship,Pistol,1,0,0,1,7,7,7,0,0,3,3,3,0,0,4,4,4,0,0,Subdued by police,No,42,,,Male,,,Caucasian,,
